	Chemical Name	CAS Number	U.S. EPA PC Code	CA Chem Code	Use Type	Chemical Class	U.S. EPA Registered	WHO 1a	WHO 1b	Rotterdam Annex III	Stockholm Annex A	Stockholm Annex B
69	Sodium cyanide	143-33-9	074002, 074002	688	Rodenticide	Inorganic	True	False	True	False	False	False
70	Strychnine	57-24-9	076901, 076901	554	Rodenticide, Avicide	Botanical	True	False	True	False	False	False
71	Tefluthrin	79538-32-2	128912, 128912	3839	Insecticide	Pyrethroid	False	False	True	False	False	False
72	Thiofanox	39196-18-4	109201, 453400, 109201, 453400	2938	Insecticide	N-Methyl Carbamate	False	False	True	False	False	False
73	Triazofos	24017-47-8	344600, 344600	3543	Insecticide	Organophosphorus	False	False	True	False	False	False
74	Vamidothion	2275-23-2	379200, 379200	3544	Insecticide	Organophosphorus	False	False	True	False	False	False
75	Warfarin	81-81-2	086002, 086002	621	Rodenticide	Coumarin	True	False	True	False	False	False
76	Zinc phosphide	1314-84-7	088601, 088601	626	Rodenticide	Inorganic-Zinc	True	False	True	False	False	False
77	2,4,5-T	93-76-5	082001, 082001	639	Herbicide	Chlorophenoxy acid, salt, or ester	False	False	False	True	False	False
78	2,4,5-T, 2-ethylhexyl ester	1928-47-8	082063, 082063	1092	Herbicide	Chlorophenoxy acid, salt, or ester	False	False	False	True	False	False
79	2,4,5-T, alkylamine salt	53535-37-8	082013, 082013	818, 1989	Herbicide	Chlorophenoxy acid, salt, or ester	False	False	False	True	False	False
80	2,4,5-T, butoxyethanol ester	2545-59-7	082053, 082072, 082053, 082072	819	Herbicide	Chlorophenoxy acid, salt, or ester, Glycol Ether	False	False	False	True	False	False
81	2,4,5-T, butyl ester	93-79-8	082056, 082056	822	Herbicide	Chlorophenoxy acid, salt, or ester	False	False	False	True	False	False
82	2,4,5-T, dimethylamine salt	6369-97-7	082019, 082019	1474	Herbicide	Chlorophenoxy acid, salt, or ester	False	False	False	True	False	False
83	2,4,5-T, dodecylamine salt	53404-84-5	082011, 082011	1988	Herbicide	Chlorophenoxy acid, salt, or ester	False	False	False	True	False	False
84	2,4,5-T, N-oleyl-1,3-propylenediamine salt	53404-87-8	082029, 082029	1097	Herbicide	Chlorophenoxy acid, salt, or ester	False	False	False	True	False	False
85	2,4,5-T, propylene glycol butyl ether ester	1928-48-9, 7173-98-0	082055, 082055	824, 820	Herbicide	Chlorophenoxy acid, salt, or ester	False	False	False	True	False	False
86	2,4,5-T, triethylamine salt	2008-46-0	082034, 082034	850	Herbicide	Chlorophenoxy acid, salt, or ester	False	False	False	True	False	False
87	Aldrin	309-00-2	045101, 045101	9	Insecticide	Organochlorine	False	False	False	True	True	False
88	Aroclor 1254	1336-36-3, 11097-69-1	017801, 203600, 817801, 017801, 203600	5003	Electronics production, Paints, coatings, resins, Building materials, Industrial chemical	Organochlorine	False	False	False	True	False	False
89	Asbestos	1332-21-4, 12001-28-4, 77536-66-4, 77536-67-5, 77536-68-6	099301, 099301	2398	Building materials, Flame retardant	Inorganic	False	False	False	True	False	False
90	Benomyl	17804-35-2	099101, 099101	1552	Fungicide	Benzimidazole	False	False	False	True	False	False
91	Binapacryl	485-31-4	012201, 012201	73	Herbicide	Dinitrophenol derivative	False	False	False	True	False	False
92	Bis (tributyltin) adipate	7437-35-6	083117, 083117	1990	Antifoulant, Microbiocide	Organotin, Heavy metal	False	False	False	True	False	False
93	Bis(tributyltin) salicylate	22330-14-9	083102, 083116, 083102, 083116	5074	Antifoulant, Microbiocide	Organotin, Heavy metal	False	False	False	True	False	False
94	Bis(tributyltin) succinate	4644-96-6	083103, 083103	74	Antifoulant, Microbiocide	Organotin, Heavy metal	False	False	False	True	False	False
95	Calomel	10112-91-1	052201, 052201	100	Fungicide	Inorganic-Mercury, Heavy metal	False	False	False	True	False	False
96	Chlordane	57-74-9, 12789-03-6, 5103-71-9, 5103-74-2	058201, 058202, 058201, 058202	130	Insecticide	Organochlorine	False	False	False	True	True	False
97	Chlordimeform	6164-98-3	059701, 059701	300	Insecticide	Formamidine	False	False	False	True	False	False
98	Chlordimeform hydrochloride	19750-95-9	059702, 059702	301	Insecticide	Formamidine	False	False	False	True	False	False
99	Chlorobenzilate	510-15-6	028801, 028801	132	Insecticide	Unclassified	False	False	False	True	False	False
100	DDT, p,p'	50-29-3	029201, 029201	186	Insecticide	Organochlorine	False	False	False	True	False	False
101	Di(phenylmercuric) dodecenyl succinate	27236-65-3	066001, 066001	501	Microbiocide, Fungicide	Organomercury, Heavy metal	False	False	False	True	False	False
102	Dieldrin	60-57-1	045001, 045001	210	Insecticide, Breakdown product	Organochlorine	False	False	False	True	True	False
103	Dinoseb	88-85-7	037505, 037505	238	Herbicide, Defoliant	Dinitrophenol derivative	False	False	False	True	False	False
104	Dinoseb, amine salt	152212-20-9, 483313-22-0, 530-17-6, 88-85-7	037511, 037511	239	Herbicide, Defoliant	Dinitrophenol derivative	False	False	False	True	False	False
105	Dinoseb, ammonium salt	6365-83-9	037513, 037513	240	Herbicide, Defoliant	Dinitrophenol derivative	False	False	False	True	False	False
106	Dinoseb, sodium salt	35040-03-0	037512, 037512	1445	Herbicide, Defoliant	Dinitrophenol derivative	False	False	False	True	False	False
107	Dinoseb, triethanolamine salt	6420-47-9	037506, 037506	235	Herbicide, Defoliant	Dinitrophenol derivative	False	False	False	True	False	False
108	DNOC, sodium salt	2312-76-7	037508, 037508	533	Insecticide, Herbicide, Fungicide	Dinitrophenol derivative	False	False	False	True	False	False
109	Ethylene dibromide	106-93-4	042002, 042002	271	Fumigant, Nematicide	Halogenated organic	False	False	False	True	False	False
110	Ethylene dichloride	107-06-2	042003, 842003, 042003, 842003	274	Fumigant, Insecticide	Halogenated organic	False	False	False	True	False	False
111	Ethylene oxide	75-21-8	042301, 042301	277	Fumigant, Polymer production	Alcohol/Ether	True	False	False	True	False	False
112	Heptachlor	76-44-8	044801, 044801	317	Insecticide	Organochlorine	False	False	False	True	True	False
113	Hydroxymercuri-o-nitrophenol	30284-78-7	052601, 052601	2606	Microbiocide	Organomercury, Heavy metal	False	False	False	True	False	False
114	Lindane	58-89-9	009001, 009001	359	Insecticide, Rodenticide	Organochlorine	False	False	False	True	True	False
115	Mercuric dimethyl dithiocarbamate	15415-64-2	034808, 034808	709	Microbiocide	Inorganic-Mercury, Heavy metal, Dithiocarbamate-DIME	False	False	False	True	False	False
116	Mercuric oleate	1191-80-6	052105, 600028, 052105, 600028	3276	Fungicide, Impurity	Inorganic-Mercury, Heavy metal	False	False	False	True	False	False
117	Methylmercury dicyano diamide	502-39-6	051909, 051909	454	Fungicide	Organomercury, Heavy metal	False	False	False	True	False	False
118	PCP, potassium salt	7978-73-6	063002, 063002	1049	Wood Preservative, Microbiocide, Algaecide, Fungicide, Molluscicide	Chlorinated Phenol	False	False	False	True	False	False
119	PCP, sodium salt	131-52-2	063003, 600022, 063003, 600022	540	Wood Preservative, Microbiocide, Algaecide, Fungicide, Molluscicide	Chlorinated Phenol	False	False	False	True	False	False
120	Phenylmercuric lactate	122-64-5	066012, 066012	1535	Microbiocide, Fungicide, Herbicide	Organomercury, Heavy metal	False	False	False	True	False	False
121	Phenylmercuric nitrate	55-68-5	066016, 066016	477	Microbiocide, Fungicide, Herbicide	Organomercury, Heavy metal	False	False	False	True	False	False
