,Unnamed: 0,Chemical Name,CAS Number,U.S. EPA PC Code,CA Chem Code,Use Type,Chemical Class,U.S. EPA Registered,WHO 1a,WHO 1b,Rotterdam Annex III,Stockholm Annex A,Stockholm Annex B
94,89,Asbestos,1332-21-4,"099301, 099301",2398,"Building materials, Flame retardant",Inorganic,False,False,False,True,False,False
95,89,Asbestos,77536-66-4,"099301, 099301",2398,"Building materials, Flame retardant",Inorganic,False,False,False,True,False,False
96,89,Asbestos,77536-67-5,"099301, 099301",2398,"Building materials, Flame retardant",Inorganic,False,False,False,True,False,False
97,89,Asbestos,77536-68-6,"099301, 099301",2398,"Building materials, Flame retardant",Inorganic,False,False,False,True,False,False
98,90,Benomyl,17804-35-2,"099101, 099101",1552,Fungicide,Benzimidazole,False,False,False,True,False,False
99,91,Binapacryl,485-31-4,"012201, 012201",73,Herbicide,Dinitrophenol derivative,False,False,False,True,False,False
100,92,Bis (tributyltin) adipate,7437-35-6,"083117, 083117",1990,"Antifoulant, Microbiocide","Organotin, Heavy metal",False,False,False,True,False,False
101,93,Bis(tributyltin) salicylate,22330-14-9,"083102, 083116, 083102, 083116",5074,"Antifoulant, Microbiocide","Organotin, Heavy metal",False,False,False,True,False,False
102,94,Bis(tributyltin) succinate,4644-96-6,"083103, 083103",74,"Antifoulant, Microbiocide","Organotin, Heavy metal",False,False,False,True,False,False
103,95,Calomel,10112-91-1,"052201, 052201",100,Fungicide,"Inorganic-Mercury, Heavy metal",False,False,False,True,False,False
104,96,Chlordane,26880-48-8,"058201, 058202, 058201, 058202",130,Insecticide,Organochlorine,False,False,False,True,True,False
105,96,Chlordane,27304-13-8,"058201, 058202, 058201, 058202",130,Insecticide,Organochlorine,False,False,False,True,True,False
106,97,Chlordimeform,19750-95-9,"059701, 059701",300,Insecticide,Formamidine,False,False,False,True,False,False
107,98,Chlordimeform hydrochloride,6164-98-3,"059702, 059702",301,Insecticide,Formamidine,False,False,False,True,False,False
108,99,Chlorobenzilate,510-15-6,"028801, 028801",132,Insecticide,Unclassified,False,False,False,True,False,False
109,100,"DDT, p,p'",Not Listed,"029201, 029201",186,Insecticide,Organochlorine,False,False,False,True,False,False
110,101,Di(phenylmercuric) dodecenyl succinate,27236-65-3,"066001, 066001",501,"Microbiocide, Fungicide","Organomercury, Heavy metal",False,False,False,True,False,False
111,102,Dieldrin,Not Listed,"045001, 045001",210,"Insecticide, Breakdown product",Organochlorine,False,False,False,True,True,False
112,103,Dinoseb,35040-03-0,"037505, 037505",238,"Herbicide, Defoliant",Dinitrophenol derivative,False,False,False,True,False,False
113,104,"Dinoseb, amine salt",Not Listed,"037511, 037511",239,"Herbicide, Defoliant",Dinitrophenol derivative,False,False,False,True,False,False
114,105,"Dinoseb, ammonium salt",2813-95-8,"037513, 037513",240,"Herbicide, Defoliant",Dinitrophenol derivative,False,False,False,True,False,False
115,106,"Dinoseb, sodium salt",88-85-7,"037512, 037512",1445,"Herbicide, Defoliant",Dinitrophenol derivative,False,False,False,True,False,False
116,107,"Dinoseb, triethanolamine salt",53404-43-6,"037506, 037506",235,"Herbicide, Defoliant",Dinitrophenol derivative,False,False,False,True,False,False
117,108,"DNOC, sodium salt",2312-76-7,"037508, 037508",533,"Insecticide, Herbicide, Fungicide",Dinitrophenol derivative,False,False,False,True,False,False
118,109,Ethylene dibromide,106-93-4,"042002, 042002",271,"Fumigant, Nematicide",Halogenated organic,False,False,False,True,False,False
119,110,Ethylene dichloride,107-06-2,"042003, 842003, 042003, 842003",274,"Fumigant, Insecticide",Halogenated organic,False,False,False,True,False,False
120,111,Ethylene oxide,56573-85-4,"042301, 042301",277,"Fumigant, Polymer production",Alcohol/Ether,True,False,False,True,False,False
121,112,Heptachlor,28680-45-7,"044801, 044801",317,Insecticide,Organochlorine,False,False,False,True,True,False
122,113,Hydroxymercuri-o-nitrophenol,1300-34-1,"052601, 052601",2606,Microbiocide,"Organomercury, Heavy metal",False,False,False,True,False,False
123,113,Hydroxymercuri-o-nitrophenol,17140-73-7,"052601, 052601",2606,Microbiocide,"Organomercury, Heavy metal",False,False,False,True,False,False
124,113,Hydroxymercuri-o-nitrophenol,52486-78-9,"052601, 052601",2606,Microbiocide,"Organomercury, Heavy metal",False,False,False,True,False,False
125,114,Lindane,58-89-9,"009001, 009001",359,"Insecticide, Rodenticide",Organochlorine,False,False,False,True,True,False
126,115,Mercuric dimethyl dithiocarbamate,15415-64-2,"034808, 034808",709,Microbiocide,"Inorganic-Mercury, Heavy metal, Dithiocarbamate-DIME",False,False,False,True,False,False
127,116,Mercuric oleate,1191-80-6,"052105, 600028, 052105, 600028",3276,"Fungicide, Impurity","Inorganic-Mercury, Heavy metal",False,False,False,True,False,False
128,117,Methylmercury dicyano diamide,502-39-6,"051909, 051909",454,Fungicide,"Organomercury, Heavy metal",False,False,False,True,False,False
129,118,"PCP, potassium salt",7978-73-6,"063002, 063002",1049,"Wood Preservative, Microbiocide, Algaecide, Fungicide, Molluscicide",Chlorinated Phenol,False,False,False,True,False,False
130,119,"PCP, sodium salt",Not Listed,"063003, 600022, 063003, 600022",540,"Wood Preservative, Microbiocide, Algaecide, Fungicide, Molluscicide",Chlorinated Phenol,False,False,False,True,False,False
131,120,Phenylmercuric lactate,122-64-5,"066012, 066012",1535,"Microbiocide, Fungicide, Herbicide","Organomercury, Heavy metal",False,False,False,True,False,False
132,121,Phenylmercuric nitrate,55-68-5,"066016, 066016",477,"Microbiocide, Fungicide, Herbicide","Organomercury, Heavy metal",False,False,False,True,False,False
133,122,Phenylmercuric oleate,104-60-9,"066022, 066022",853,"Microbiocide, Fungicide, Herbicide","Organomercury, Heavy metal",False,False,False,True,False,False
134,123,PMAA,62-38-4,"066004, 066004",492,"Fungicide, Microbiocide","Organomercury, Heavy metal",False,False,False,True,False,False
135,124,Poly (methylmethacrylate-co-tributyltin methacrylate),2155-70-6,"083119, 083119",5075,"Antifoulant, Microbiocide","Organotin, Heavy metal, Polymer",False,False,False,True,False,False
136,125,Thiram,75497-92-6,"079801, 079801",589,Fungicide,Dithiocarbamate,True,False,False,True,False,False
137,126,Toxaphene,8001-35-2,"080501, 080501",594,Insecticide,Organochlorine,False,False,False,True,True,False
138,127,Tributyltin acetate,Not Listed,"083105, 083105",2097,"Antifoulant, Microbiocide","Organotin, Heavy metal",False,False,False,True,False,False
139,128,Tributyltin benzoate,56573-85-4,"083106, 083106",1114,"Antifoulant, Microbiocide","Organotin, Heavy metal",False,False,False,True,False,False
140,129,Tributyltin chloride,1461-22-9,"083107, 083107",1891,"Antifoulant, Microbiocide","Organotin, Heavy metal",False,False,False,True,False,False
141,130,Tributyltin chloride complex of ethylene oxide condensate of abietylamine,4342-36-3,"083108, 083108","1412, 1864","Antifoulant, Microbiocide","Organotin, Heavy metal",False,False,False,True,False,False
142,131,Tributyltin fluoride,27189-59-9,"083112, 083112",1030,"Antifoulant, Microbiocide, Fungicide","Organotin, Heavy metal",False,False,False,True,False,False
143,132,Tributyltin isopropyl succinate,26354-18-7,"083115, 083115",1115,"Antifoulant, Microbiocide","Organotin, Heavy metal",False,False,False,True,False,False
144,133,Tributyltin linoleate,24124-25-2,"083109, 083109",1116,"Antifoulant, Microbiocide","Organotin, Heavy metal",False,False,False,True,False,False
145,134,Tributyltin maleate,14275-57-1,"083118, 083118",2185,"Antifoulant, Microbiocide","Organotin, Heavy metal",False,False,False,True,False,False
146,134,Tributyltin maleate,4027-18-3,"083118, 083118",2185,"Antifoulant, Microbiocide","Organotin, Heavy metal",False,False,False,True,False,False
147,135,Tributyltin methacrylate,26354-18-7,"083120, 083120",2179,"Antifoulant, Microbiocide","Organotin, Heavy metal",False,False,False,True,False,False
148,136,Tributyltin monopropylene glycol maleate,53466-85-6,"083110, 083110",1985,"Antifoulant, Microbiocide","Organotin, Heavy metal",False,False,False,True,False,False
149,137,Tributyltin neodecanoate,28801-69-6,"083111, 083111",1035,"Antifoulant, Microbiocide","Organotin, Heavy metal",False,False,False,True,False,False
150,138,Tributyltin oxide,56-35-9,"083001, 883001, 083001, 883001",569,"Antifoulant, Microbiocide, Molluscicide, Fungicide","Organotin, Heavy metal",False,False,False,True,False,False
